Province,District,Dengue_Cases,Month,Year,Date,City,Temp_Max_Mean,Temp_Min_Mean,Temp_Mean,Precipitation,Rain_Sum,Humidity_Proxy,Windspeed_Max,Latitude,Longitude,Temp_Mean_lag1,Temp_Mean_lag2,Temp_Mean_lag3,Temp_Mean_lag4,Rain_Sum_lag1,Rain_Sum_lag2,Rain_Sum_lag3,Rain_Sum_lag4,Humidity_Proxy_lag1,Humidity_Proxy_lag2,Humidity_Proxy_lag3,Humidity_Proxy_lag4,Rain_roll3,Temp_roll3,Month_sin,Month_cos,Cases_log,Risk_Label
Eastern,Ampara,19,6,2021,2021-06-01,Kalmunai,32.82666666666667,26.35333333333333,29.44333333333333,24.0,24.0,5.125333333333333,13.806666666666668,7.4000015,81.80002,28.770967741935483,28.016666666666666,26.951612903225808,26.064285714285717,67.7,55.4,75.1,69.1,4.630967741935484,4.878,4.160645161290322,4.053214285714286,49.03333333333333,28.74365591397849,1.2246467991473532e-16,-1.0,2.995732273553991,0
Eastern,Ampara,11,7,2021,2021-07-01,Kalmunai,33.00967741935484,26.30322580645161,29.351612903225806,45.7,45.7,5.006129032258064,14.99032258064516,7.4000015,81.80002,29.44333333333333,28.770967741935483,28.016666666666666,26.951612903225808,24.0,67.7,55.4,75.1,5.125333333333333,4.630967741935484,4.878,4.160645161290322,45.79999999999999,29.18863799283154,-0.4999999999999997,-0.8660254037844388,2.4849066497880004,0
Eastern,Ampara,0,8,2021,2021-08-01,Kalmunai,32.2,26.141935483870967,28.83870967741936,59.7,59.7,4.5606451612903225,13.56774193548387,7.4000015,81.80002,29.351612903225806,29.44333333333333,28.770967741935483,28.016666666666666,45.7,24.0,67.7,55.4,5.006129032258064,5.125333333333333,4.630967741935484,4.878,43.13333333333333,29.211218637992832,-0.8660254037844385,-0.5000000000000004,0.0,0
Eastern,Ampara,5,9,2021,2021-09-01,Kalmunai,32.31666666666667,26.206666666666667,28.886666666666667,60.9,60.9,4.755,13.726666666666668,7.4000015,81.80002,28.83870967741936,29.351612903225806,29.44333333333333,28.770967741935483,59.7,45.7,24.0,67.7,4.5606451612903225,5.006129032258064,5.125333333333333,4.630967741935484,55.43333333333334,29.025663082437276,-1.0,-1.8369701987210297e-16,1.791759469228055,0
Eastern,Ampara,7,10,2021,2021-10-01,Kalmunai,30.783870967741933,25.596774193548388,27.87741935483871,137.5,137.5,4.033870967741936,13.64516129032258,7.4000015,81.80002,28.886666666666667,28.83870967741936,29.351612903225806,29.44333333333333,60.9,59.7,45.7,24.0,4.755,4.5606451612903225,5.006129032258064,5.125333333333333,86.03333333333335,28.534265232974914,-0.8660254037844386,0.5000000000000001,2.0794415416798357,0
Eastern,Ampara,9,11,2021,2021-11-01,Kalmunai,28.72,24.82333333333333,26.49,321.3,321.3,3.207,14.03,7.4000015,81.80002,27.87741935483871,28.886666666666667,28.83870967741936,29.351612903225806,137.5,60.9,59.7,45.7,4.033870967741936,4.755,4.5606451612903225,5.006129032258064,173.23333333333335,27.751362007168456,-0.5000000000000004,0.8660254037844384,2.302585092994046,0
Eastern,Ampara,35,12,2021,2021-12-01,Kalmunai,27.85483870967742,24.580645161290324,26.16774193548387,119.5,119.5,3.5570967741935484,16.603225806451615,7.4000015,81.80002,26.49,27.87741935483871,28.886666666666667,28.83870967741936,321.3,137.5,60.9,59.7,3.207,4.033870967741936,4.755,4.5606451612903225,192.76666666666665,26.84505376344086,-2.4492935982947064e-16,1.0,3.58351893845611,0
North central,Anuradhapura,36,5,2019,2019-05-01,Puttalam,31.1,26.916129032258063,28.725806451612904,40.4,40.4,4.637419354838709,19.961290322580645,8.0,79.80002,28.813333333333333,28.864516129032257,27.289285714285715,25.88064516129032,93.2,23.2,50.0,3.5,4.541333333333333,5.563548387096774,4.589285714285714,4.614516129032259,52.26666666666667,28.801218637992832,0.49999999999999994,-0.8660254037844387,3.6109179126442243,0
North central,Anuradhapura,62,6,2019,2019-06-01,Puttalam,30.436666666666667,26.973333333333336,28.44333333333333,74.0,74.0,4.305000000000001,23.183333333333334,8.0,79.80002,28.725806451612904,28.813333333333333,28.864516129032257,27.289285714285715,40.4,93.2,23.2,50.0,4.637419354838709,4.541333333333333,5.563548387096774,4.589285714285714,69.2,28.66082437275986,1.2246467991473532e-16,-1.0,4.143134726391533,0
North central,Anuradhapura,78,7,2019,2019-07-01,Puttalam,30.15806451612903,26.345161290322583,28.006451612903227,57.4,57.4,4.420645161290322,21.81290322580645,8.0,79.80002,28.44333333333333,28.725806451612904,28.813333333333333,28.864516129032257,74.0,40.4,93.2,23.2,4.305000000000001,4.637419354838709,4.541333333333333,5.563548387096774,57.26666666666667,28.391863799283158,-0.4999999999999997,-0.8660254037844388,4.3694478524670215,0
North central,Anuradhapura,103,8,2019,2019-08-01,Puttalam,29.164516129032258,25.567741935483877,27.05806451612903,195.2,195.2,3.584838709677419,21.31290322580645,8.0,79.80002,28.006451612903227,28.44333333333333,28.725806451612904,28.813333333333333,57.4,74.0,40.4,93.2,4.420645161290322,4.305000000000001,4.637419354838709,4.541333333333333,108.86666666666667,27.835949820788528,-0.8660254037844385,-0.5000000000000004,4.6443908991413725,0
North central,Anuradhapura,54,9,2019,2019-09-01,Puttalam,29.076666666666664,25.206666666666667,26.81,170.0,170.0,3.7643333333333335,17.46333333333333,8.0,79.80002,27.05806451612903,28.006451612903227,28.44333333333333,28.725806451612904,195.2,57.4,74.0,40.4,3.584838709677419,4.420645161290322,4.305000000000001,4.637419354838709,140.86666666666667,27.291505376344087,-1.0,-1.8369701987210297e-16,4.007333185232471,0
North central,Anuradhapura,105,10,2019,2019-10-01,Puttalam,28.793548387096774,24.63225806451613,26.30322580645161,471.4,471.4,3.0632258064516127,11.819354838709677,8.0,79.80002,26.81,27.05806451612903,28.006451612903227,28.44333333333333,170.0,195.2,57.4,74.0,3.7643333333333335,3.584838709677419,4.420645161290322,4.305000000000001,278.8666666666667,26.72376344086021,-0.8660254037844386,0.5000000000000001,4.663439094112067,0
North central,Anuradhapura,254,11,2019,2019-11-01,Puttalam,29.633333333333333,24.62333333333333,26.63,134.6,134.6,3.619,12.353333333333332,8.0,79.80002,26.30322580645161,26.81,27.05806451612903,28.006451612903227,471.4,170.0,195.2,57.4,3.0632258064516127,3.7643333333333335,3.584838709677419,4.420645161290322,258.6666666666667,26.5810752688172,-0.5000000000000004,0.8660254037844384,5.541263545158426,1
North central,Anuradhapura,270,12,2019,2019-12-01,Puttalam,29.25483870967742,24.248387096774195,26.225806451612904,163.3,163.3,3.412903225806452,17.12258064516129,8.0,79.80002,26.63,26.30322580645161,26.81,27.05806451612903,134.6,471.4,170.0,195.2,3.619,3.0632258064516127,3.7643333333333335,3.584838709677419,256.43333333333334,26.386344086021506,-2.4492935982947064e-16,1.0,5.602118820879701,1
North central,Anuradhapura,184,1,2020,2020-01-01,Puttalam,30.416129032258063,23.68064516129032,26.73225806451613,4.7,4.7,4.67225806451613,17.370967741935484,8.0,79.80002,26.225806451612904,26.63,26.30322580645161,26.81,163.3,134.6,471.4,170.0,3.412903225806452,3.619,3.0632258064516127,3.7643333333333335,100.86666666666667,26.52935483870968,0.49999999999999994,0.8660254037844387,5.220355825078324,1
North central,Anuradhapura,95,2,2020,2020-02-01,Puttalam,32.48275862068966,24.193103448275863,27.948275862068964,0.4,0.4,5.815862068965517,19.420689655172417,8.0,79.80002,26.73225806451613,26.225806451612904,26.63,26.30322580645161,4.7,163.3,134.6,471.4,4.67225806451613,3.412903225806452,3.619,3.0632258064516127,56.13333333333333,26.968780126065997,0.8660254037844386,0.5000000000000001,4.564348191467836,0
North central,Anuradhapura,44,3,2020,2020-03-01,Puttalam,33.167741935483875,25.351612903225806,28.870967741935484,20.8,20.8,5.464516129032258,12.974193548387095,8.0,79.80002,27.948275862068964,26.73225806451613,26.225806451612904,26.63,0.4,4.7,163.3,134.6,5.815862068965517,4.67225806451613,3.412903225806452,3.619,8.633333333333335,27.850500556173525,1.0,6.123233995736766e-17,3.8066624897703196,0
North central,Anuradhapura,8,4,2020,2020-04-01,Puttalam,32.48,26.16333333333333,28.896666666666665,92.7,92.7,4.831333333333333,11.196666666666664,8.0,79.80002,28.870967741935484,27.948275862068964,26.73225806451613,26.225806451612904,20.8,0.4,4.7,163.3,5.464516129032258,5.815862068965517,4.67225806451613,3.412903225806452,37.96666666666667,28.571970090223704,0.8660254037844387,-0.4999999999999998,2.1972245773362196,0
North central,Anuradhapura,9,5,2020,2020-05-01,Puttalam,30.62258064516129,26.774193548387096,28.451612903225808,172.5,172.5,3.850322580645161,16.98709677419355,8.0,79.80002,28.896666666666665,28.870967741935484,27.948275862068964,26.73225806451613,92.7,20.8,0.4,4.7,4.831333333333333,5.464516129032258,5.815862068965517,4.67225806451613,95.33333333333333,28.739749103942653,0.49999999999999994,-0.8660254037844387,2.302585092994046,0
North central,Anuradhapura,26,6,2020,2020-06-01,Puttalam,29.85666666666667,26.496666666666663,27.936666666666667,134.2,134.2,4.01,19.94,8.0,79.80002,28.451612903225808,28.896666666666665,28.870967741935484,27.948275862068964,172.5,92.7,20.8,0.4,3.850322580645161,4.831333333333333,5.464516129032258,5.815862068965517,133.13333333333333,28.42831541218638,1.2246467991473532e-16,-1.0,3.295836866004329,0
North central,Anuradhapura,19,7,2020,2020-07-01,Puttalam,29.40322580645161,26.10322580645161,27.461290322580645,136.6,136.6,3.7638709677419353,18.561290322580643,8.0,79.80002,27.936666666666667,28.451612903225808,28.896666666666665,28.870967741935484,134.2,172.5,92.7,20.8,4.01,3.850322580645161,4.831333333333333,5.464516129032258,147.76666666666665,27.94985663082437,-0.4999999999999997,-0.8660254037844388,2.995732273553991,0
