Province,District,Dengue_Cases,Month,Year,Date,City,Temp_Max_Mean,Temp_Min_Mean,Temp_Mean,Precipitation,Rain_Sum,Humidity_Proxy,Windspeed_Max,Latitude,Longitude
Central,Matale,54,2,2019,2019-02-01,Matale,28.42142857142857,21.664285714285715,24.610714285714288,156.4,156.4,3.704285714285714,11.982142857142858,7.5999985,80.600006
Central,Matale,58,3,2019,2019-03-01,Matale,31.893548387096775,21.26451612903226,26.348387096774193,17.4,17.4,5.137741935483871,10.103225806451613,7.5999985,80.600006
Central,Matale,17,4,2019,2019-04-01,Matale,32.23,23.34,27.316666666666666,144.2,144.2,4.563999999999999,7.916666666666667,7.5999985,80.600006
Central,Matale,30,5,2019,2019-05-01,Matale,31.35483870967742,23.996774193548386,27.03548387096774,27.6,27.6,4.78483870967742,17.606451612903225,7.5999985,80.600006
Central,Matale,54,6,2019,2019-06-01,Matale,30.68,24.326666666666664,26.84,48.2,48.2,4.555666666666666,22.086666666666666,7.5999985,80.600006
Central,Matale,60,7,2019,2019-07-01,Matale,30.82903225806452,23.816129032258065,26.61935483870968,67.9,67.9,4.7464516129032255,20.541935483870965,7.5999985,80.600006
Central,Matale,73,8,2019,2019-08-01,Matale,28.796774193548387,23.16774193548387,25.30322580645161,120.6,120.6,3.7193548387096773,20.816129032258065,7.5999985,80.600006
Central,Matale,62,9,2019,2019-09-01,Matale,29.496666666666666,22.970000000000002,25.5,126.6,126.6,4.061,17.183333333333334,7.5999985,80.600006
Central,Matale,275,10,2019,2019-10-01,Matale,27.951612903225808,21.63225806451613,24.148387096774194,625.5,625.5,3.0003225806451614,9.048387096774194,7.5999985,80.600006
Central,Matale,902,11,2019,2019-11-01,Matale,28.296666666666667,21.660000000000004,24.496666666666666,193.0,193.0,3.4063333333333334,9.466666666666667,7.5999985,80.600006
Central,Matale,798,12,2019,2019-12-01,Matale,27.03548387096774,21.787096774193547,23.91290322580645,138.2,138.2,2.758387096774194,12.787096774193548,7.5999985,80.600006
Central,Nuwara Eliya,26,1,2019,2019-01-01,Hatton,24.154838709677417,16.851612903225806,20.15806451612903,44.0,44.0,3.3751612903225805,7.306451612903226,6.9000015,80.600006
Central,Nuwara Eliya,17,2,2019,2019-02-01,Hatton,24.22142857142857,17.62857142857143,20.52857142857143,222.4,222.4,3.4625,8.189285714285715,6.9000015,80.600006
Central,Nuwara Eliya,12,3,2019,2019-03-01,Hatton,25.425806451612903,16.60967741935484,20.958064516129035,61.3,61.3,4.507419354838709,7.083870967741936,6.9000015,80.600006
Central,Nuwara Eliya,7,4,2019,2019-04-01,Hatton,25.43,18.740000000000002,21.67,147.2,147.2,4.003333333333333,5.7266666666666675,6.9000015,80.600006
Central,Nuwara Eliya,19,5,2019,2019-05-01,Hatton,24.61935483870968,19.33225806451613,21.416129032258063,131.8,131.8,3.8851612903225807,9.206451612903225,6.9000015,80.600006
Central,Nuwara Eliya,22,6,2019,2019-06-01,Hatton,23.803333333333335,19.363333333333333,21.05666666666667,96.5,96.5,3.3886666666666665,15.943333333333333,6.9000015,80.600006
Central,Nuwara Eliya,33,7,2019,2019-07-01,Hatton,23.806451612903224,18.56451612903226,20.687096774193545,135.6,135.6,3.6009677419354835,14.364516129032259,6.9000015,80.600006
Central,Nuwara Eliya,31,8,2019,2019-08-01,Hatton,22.816129032258065,18.519354838709678,20.041935483870965,215.3,215.3,2.825806451612903,14.741935483870968,6.9000015,80.600006
Central,Nuwara Eliya,32,9,2019,2019-09-01,Hatton,23.053333333333335,18.38,20.14,283.5,283.5,3.1943333333333332,10.75,6.9000015,80.600006
Central,Nuwara Eliya,52,10,2019,2019-10-01,Hatton,23.048387096774192,18.019354838709678,19.919354838709676,547.6,547.6,2.7083870967741936,5.925806451612903,6.9000015,80.600006
Central,Nuwara Eliya,97,11,2019,2019-11-01,Hatton,23.83,17.93,20.38,220.20000000000002,220.20000000000002,3.165,7.3566666666666665,6.9000015,80.600006
Central,Nuwara Eliya,90,12,2019,2019-12-01,Hatton,23.687096774193545,18.009677419354837,20.345161290322583,209.1,209.1,2.625483870967742,8.651612903225805,6.9000015,80.600006
Eastern,Ampara,25,1,2019,2019-01-01,Kalmunai,27.19677419354839,24.12258064516129,25.65806451612903,63.9,63.9,3.7600000000000002,20.806451612903224,7.4000015,81.80002
Eastern,Ampara,18,2,2019,2019-02-01,Kalmunai,28.153571428571432,24.614285714285717,26.37857142857143,103.8,103.8,3.8003571428571425,16.975,7.4000015,81.80002
Eastern,Ampara,37,3,2019,2019-03-01,Kalmunai,30.0,24.970967741935485,27.529032258064515,26.8,26.8,5.050000000000001,15.764516129032257,7.4000015,81.80002
Eastern,Ampara,12,4,2019,2019-04-01,Kalmunai,31.793333333333333,26.256666666666668,28.92,37.0,37.0,5.069333333333334,15.483333333333333,7.4000015,81.80002
Eastern,Ampara,11,5,2019,2019-05-01,Kalmunai,33.45161290322581,27.299999999999997,30.138709677419353,13.5,13.5,5.522258064516129,17.461290322580645,7.4000015,81.80002
Eastern,Ampara,24,6,2019,2019-06-01,Kalmunai,34.47666666666667,27.343333333333337,30.553333333333335,12.5,12.5,5.368333333333334,15.18,7.4000015,81.80002
Eastern,Ampara,26,7,2019,2019-07-01,Kalmunai,33.84838709677419,26.951612903225808,29.958064516129035,18.2,18.2,5.518387096774194,17.729032258064517,7.4000015,81.80002
Eastern,Ampara,33,8,2019,2019-08-01,Kalmunai,32.81290322580645,26.270967741935483,28.958064516129035,62.8,62.8,4.862903225806452,16.14516129032258,7.4000015,81.80002
Eastern,Ampara,24,9,2019,2019-09-01,Kalmunai,31.603333333333335,25.77,28.16,119.9,119.9,4.807666666666666,16.75,7.4000015,81.80002
Eastern,Ampara,37,10,2019,2019-10-01,Kalmunai,28.774193548387096,24.85483870967742,26.529032258064515,349.8,349.8,3.3680645161290323,14.55483870967742,7.4000015,81.80002
Eastern,Ampara,60,11,2019,2019-11-01,Kalmunai,28.65666666666667,24.613333333333333,26.526666666666664,252.39999999999998,252.39999999999998,3.4856666666666665,14.33,7.4000015,81.80002
